method,cluster,type,cramer,percent_change,delay,size
cluster_distilbert_default,12,bertweet_sentiment,0.13251,2,2,64
cluster_minilm_default,22,distilbert_sentiment,0.13227,0,2,83
cluster_mpnet_default,0,textblob_sentiment,0.13202,2,2,91
cluster_mpnet_default,0,textblob_sentiment,0.13202,1.5,2,91
cluster_mpnet_default,0,textblob_sentiment,0.13202,1,2,91
cluster_distilbert_default,3,textblob_sentiment,0.13149,0,3,76
cluster_mpnet_dbcv,2,bertweet_sentiment,0.13088,0,1,134
cluster_minilm_default,25,textblob_sentiment,0.13085,2,1,70
cluster_distilbert_default,8,textblob_sentiment,0.1307,1,2,108
cluster_mpnet_default,6,bertweet_sentiment,0.13027,2,3,74
cluster_minilm_default,31,bertweet_sentiment,0.1301,1.5,3,101
cluster_minilm_default,2,textblob_sentiment,0.13008,2,3,65
cluster_minilm_default,18,textblob_sentiment,0.12973,0,1,111
cluster_use_default,0,distilbert_sentiment,0.12924,0,3,243
cluster_minilm_default,20,bertweet_sentiment,0.12921,1,2,97
cluster_minilm_default,32,textblob_sentiment,0.12879,1,3,62
cluster_distilbert_default,3,bertweet_sentiment,0.12848,0.5,1,76
cluster_use_default,1,textblob_sentiment,0.12848,0.5,1,53
cluster_distilbert_default,3,bertweet_sentiment,0.12848,1,1,76
cluster_distilbert_default,17,bertweet_sentiment,0.12845,2,2,73
cluster_minilm_default,20,bertweet_sentiment,0.12819,0.5,2,97
cluster_minilm_default,25,bertweet_sentiment,0.12754,0.5,2,70
cluster_distilbert_default,0,bertweet_sentiment,0.12753,2,2,65
cluster_mpnet_dbcv,0,textblob_sentiment,0.12721,2,2,189
cluster_mpnet_default,2,textblob_sentiment,0.12698,0,3,119
cluster_minilm_default,25,bertweet_sentiment,0.12646,0,1,70
cluster_minilm_default,29,textblob_sentiment,0.12553,0.5,3,61
cluster_distilbert_default,17,bertweet_sentiment,0.12539,1,2,73
cluster_mpnet_default,1,textblob_sentiment,0.12539,0.5,3,78
cluster_minilm_default,31,bertweet_sentiment,0.12535,0,1,101
cluster_mpnet_dbcv,2,textblob_sentiment,0.12517,0,1,134
cluster_minilm_default,22,textblob_sentiment,0.12516,0.5,3,83
cluster_minilm_default,3,textblob_sentiment,0.12503,2,2,53
cluster_distilbert_default,8,bertweet_sentiment,0.12468,1.5,1,108
cluster_minilm_dbcv,1,bertweet_sentiment,0.1245,1.5,1,89
cluster_minilm_dbcv,1,bertweet_sentiment,0.1245,2,1,89
cluster_minilm_dbcv,1,bertweet_sentiment,0.1245,1,1,89
cluster_minilm_default,7,textblob_sentiment,0.12443,0.5,1,63
cluster_minilm_default,16,distilbert_sentiment,0.12426,0,2,33
cluster_distilbert_default,7,bertweet_sentiment,0.12415,2,2,32
cluster_minilm_default,20,bertweet_sentiment,0.12389,2,2,97
cluster_minilm_default,14,bertweet_sentiment,0.12377,1.5,1,46
cluster_distilbert_default,6,bertweet_sentiment,0.12294,1.5,3,72
cluster_distilbert_default,6,bertweet_sentiment,0.12294,1,3,72
cluster_minilm_default,23,textblob_sentiment,0.1229,1,3,59
cluster_minilm_default,22,bertweet_sentiment,0.12279,1,2,83
cluster_distilbert_default,3,textblob_sentiment,0.12273,0.5,3,76
cluster_use_default,10,bertweet_sentiment,0.12264,1,2,89
cluster_minilm_default,29,textblob_sentiment,0.1225,0.5,2,61
cluster_minilm_default,18,textblob_sentiment,0.1225,2,1,111
cluster_distilbert_default,22,textblob_sentiment,0.12234,0.5,1,91
cluster_minilm_default,29,textblob_sentiment,0.12233,1,2,61
cluster_distilbert_default,15,distilbert_sentiment,0.12222,0,3,257
cluster_minilm_default,18,textblob_sentiment,0.12198,1,3,111
cluster_minilm_default,29,textblob_sentiment,0.12144,2,2,61
cluster_minilm_default,19,textblob_sentiment,0.1213,0.5,1,173
cluster_minilm_default,21,bertweet_sentiment,0.12119,1.5,3,168
cluster_minilm_default,32,bertweet_sentiment,0.12101,2,1,62
cluster_minilm_default,32,textblob_sentiment,0.12089,1.5,3,62
cluster_minilm_default,32,textblob_sentiment,0.12089,2,3,62
cluster_mpnet_default,3,textblob_sentiment,0.12083,0,3,56
cluster_distilbert_default,3,textblob_sentiment,0.12061,0,2,76
cluster_minilm_default,19,textblob_sentiment,0.12046,1,1,173
cluster_distilbert_default,5,textblob_sentiment,0.12043,1,1,89
cluster_use_default,10,textblob_sentiment,0.12031,0,3,89
cluster_use_default,5,textblob_sentiment,0.12027,0.5,1,52
cluster_minilm_default,21,distilbert_sentiment,0.11989,0,3,168
cluster_minilm_default,20,bertweet_sentiment,0.11985,2,3,97
cluster_distilbert_default,1,textblob_sentiment,0.11974,0,2,164
cluster_use_default,10,bertweet_sentiment,0.1197,2,2,89
cluster_minilm_default,8,bertweet_sentiment,0.1196,0.5,3,32
cluster_use_default,10,textblob_sentiment,0.11952,0.5,2,89
cluster_distilbert_default,22,bertweet_sentiment,0.11952,0,1,91
cluster_minilm_default,22,textblob_sentiment,0.11905,2,3,83
cluster_minilm_default,10,textblob_sentiment,0.11855,1,1,66
cluster_distilbert_default,12,bertweet_sentiment,0.11849,0,3,64
cluster_mpnet_default,6,bertweet_sentiment,0.1184,1.5,2,74
cluster_mpnet_default,6,bertweet_sentiment,0.1184,2,2,74
cluster_minilm_default,27,textblob_sentiment,0.11839,0.5,1,72
cluster_minilm_default,31,textblob_sentiment,0.11834,0.5,3,101
cluster_minilm_default,9,textblob_sentiment,0.11775,2,2,39
cluster_minilm_default,9,textblob_sentiment,0.11775,1.5,2,39
cluster_distilbert_default,8,bertweet_sentiment,0.11724,0.5,1,108
cluster_distilbert_default,9,textblob_sentiment,0.11712,1.5,1,34
cluster_minilm_default,27,distilbert_sentiment,0.11701,0,2,72
cluster_minilm_default,3,textblob_sentiment,0.11666,2,3,53
cluster_minilm_default,3,textblob_sentiment,0.11666,1.5,3,53
cluster_mpnet_default,7,bertweet_sentiment,0.11633,0,1,215
cluster_use_default,0,textblob_sentiment,0.11578,1.5,3,243
cluster_distilbert_default,22,bertweet_sentiment,0.11564,0.5,1,91
cluster_mpnet_default,3,bertweet_sentiment,0.11551,1,1,56
cluster_distilbert_default,12,bertweet_sentiment,0.11524,2,3,64
cluster_minilm_default,9,textblob_sentiment,0.11515,0.5,2,39
cluster_distilbert_default,8,textblob_sentiment,0.11454,2,2,108
